[2018-11-30 02:50:58] ::1 an anonymous user accessed dir ./Rack1_Usb1/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:03] ::1 an anonymous user accessed dir ./Rack1_Usb4/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:07] ::1 an anonymous user accessed dir ./Rack1_Usb4/cours réseau altieri/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:09] ::1 an anonymous user accessed file ./Rack1_Usb4/cours%20r%C3%A9seau%20altieri/test.txt (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:10] ::1 an anonymous user accessed dir ./Rack1_Usb4/cours réseau altieri/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:43] ::1 root accessed dir ./Rack1_Usb4/cours réseau altieri/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:43] ::1 root accessed dir ./Rack1_Usb4/cours réseau altieri/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:46] ::1 root accessed dir ./Rack1_Usb4/cours réseau altieri/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:48] ::1 root accessed dir ./Rack1_Usb4/cours réseau altieri/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:48] ::1 root created dir ./Rack1_Usb4/cours réseau altieri/test (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:49] ::1 root accessed dir ./Rack1_Usb4/cours réseau altieri/test/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:54] ::1 root accessed dir ./Rack1_Usb4/cours réseau altieri/test/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:51:54] ::1 root created file ./Rack1_Usb4/cours réseau altieri/test/ah.png (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
